city,model,rmse,r2
Kolkata,RandomForest,1.3398581813493435,0.9737651822925072
Kolkata,LightGBM,1.6524925712635161,0.9601334324698
Kolkata,CatBoost,2.1305954655211683,0.9342886120438841
