timestamp,no,no2,pm10,pm25,relativehumidity,so2,temperature_x,temperature_y,humidity,precipitation,wind_speed,wind_direction,city,hour,day_of_week,month
2024-03-22 00:00:00+00:00,2.178392870771581e-05,43.71001493768401,101.34473678691941,31.382053751756516,44.74764070607512,22.043102905531214,26.264407857582256,17.15,99.05485,0.0,5.506941,11.3098955,Kolkata,0,4,3
2024-03-22 01:00:00+00:00,2.577361009847845e-05,43.739263104327115,101.09433221028073,31.1225498487972,45.96318228324344,21.55013629690859,27.692179937661734,19.85,93.38256,0.0,4.8965297,36.027473,Kolkata,1,4,3
2024-03-22 02:00:00+00:00,3.2523450479263714e-05,43.69907454096342,101.0421380441687,31.1724849509058,43.687022260921594,21.613068384749226,28.83158316535517,21.65,84.638466,0.0,2.0364676,44.999897,Kolkata,2,4,3
2024-03-22 03:00:00+00:00,2.5785352730118942e-05,43.690275495113006,100.98637493197506,31.13664594956792,40.75486750422101,21.267610741448493,30.127504259943606,23.45,74.69859,0.0,2.4149535,26.564985,Kolkata,3,4,3
2024-03-22 04:00:00+00:00,2.1636129092384576e-05,43.698084466817946,100.81979911527739,31.000336843048327,39.89688231473133,20.834314190889245,31.113984444138794,24.95,68.699455,0.0,2.9024127,7.12493,Kolkata,4,4,3
2024-03-22 05:00:00+00:00,2.8130130614682607e-05,43.72561744489163,102.48934635123302,31.82201796942414,35.410248961597745,22.756072963038832,31.26861806205315,26.05,65.36623,0.0,2.7416782,336.8014,Kolkata,5,4,3
2024-03-22 06:00:00+00:00,1.650627499769075e-05,43.747534909646625,102.17790183375914,31.57772085028001,34.980238447640886,21.98448976570188,32.04470672576295,27.0,60.84919,0.0,5.04,270.0,Kolkata,6,4,3
2024-03-22 07:00:00+00:00,9.071772859745204e-06,43.77062519850981,102.20106185591524,31.518919733370947,34.37903256050686,21.724259672137407,32.461577842220635,27.6,58.38045,0.0,6.8399997,270.0,Kolkata,7,4,3
2024-03-22 08:00:00+00:00,7.402159979913968e-06,43.7844032947966,102.23332768359555,31.492339071255504,34.38082609862681,21.648328222439716,32.69937007704672,28.05,57.40215,0.0,7.42159,284.03625,Kolkata,8,4,3
2024-03-22 09:00:00+00:00,1.0037734418280597e-05,43.77779889581871,102.20185328710531,31.49032506996599,34.48670520572068,21.680060528882677,32.766130356093726,28.2,57.080647,0.0,6.725354,285.52417,Kolkata,9,4,3
2024-03-22 10:00:00+00:00,4.47426116849392e-06,43.78526252888014,102.32037191513618,31.537770756767504,33.56503395678965,21.67745934765037,32.75132475053732,28.05,56.335415,0.0,7.968939,288.43503,Kolkata,10,4,3
2024-03-22 11:00:00+00:00,1.3099970421574618e-05,43.78411489127157,102.24585209863423,31.50949685532871,35.82623011654732,21.846856572885088,32.20427707010609,27.45,61.52295,0.0,6.6087217,299.35767,Kolkata,11,4,3
2024-03-22 12:00:00+00:00,2.627808568439645e-05,43.83624641072504,102.06351140512035,31.305733803719676,43.656109443421656,21.987835704879785,30.302676187345327,25.2,80.22828,0.0,6.489992,326.3099,Kolkata,12,4,3
2024-03-22 13:00:00+00:00,1.973168257562389e-05,43.777276712838855,100.72789504186741,30.751224703485324,45.07270486569473,20.536583160968974,30.261474701980006,24.1,79.58879,0.0,5.8048253,29.744795,Kolkata,13,4,3
2024-03-22 14:00:00+00:00,1.6994756533849666e-05,43.77978083749243,100.95686108899335,30.883684403487436,44.51388695384912,20.79866585278876,29.767875938837932,23.25,81.72183,0.0,6.638072,49.398785,Kolkata,14,4,3
2024-03-22 15:00:00+00:00,2.1009712258011036e-05,43.776859837465814,101.15127582282449,31.012377825645306,45.046284573328194,21.19924228727001,29.119235336916404,22.35,85.77068,0.0,6.162207,83.29026,Kolkata,15,4,3
2024-03-22 16:00:00+00:00,2.1455859271354676e-05,43.78004793777312,101.45700087694192,31.177599464887248,44.4581317341208,21.58721014532,28.810332516221706,21.95,87.07231,0.0,6.3690495,132.70937,Kolkata,16,4,3
2024-03-22 17:00:00+00:00,2.3954632282295607e-05,43.77133226865164,101.51049449228603,31.239921587235038,44.686184564617406,21.78035938250548,28.425934261311482,21.35,89.21095,0.0,5.8603754,137.4896,Kolkata,17,4,3
2024-03-22 18:00:00+00:00,2.5492099161029437e-05,43.77452399655714,101.61429598773955,31.293778699946646,45.02738224096947,21.956447616123057,28.148896353807004,21.0,91.1476,0.0,5.815978,158.19853,Kolkata,18,4,3
2024-03-22 19:00:00+00:00,1.63160507825489e-05,43.80604902948717,101.7759429486463,31.309256897575146,45.085287400193465,21.897411540726523,27.759484742366425,20.3,93.69576,0.0,8.557102,165.37909,Kolkata,19,4,3
2024-03-22 20:00:00+00:00,2.6999842651485688e-05,43.786003789007516,101.59121848921612,31.252700211060947,46.1605365782375,21.946357439839858,27.969082708244912,20.85,93.43104,0.0,5.937272,165.96373,Kolkata,20,4,3
